Date,Time,Fetcher,Student,Status
2026-03-11,18:51:40,Luz Manalo,Kimberly Manalo,AUTHORIZED
2026-03-11,18:53:17,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-11,18:53:30,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-11,18:53:38,Maria Santos,Rosé Park,AUTHORIZED
2026-03-11,18:53:46,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-11,18:55:05,Joyce Shelby,Lisa Manobal,DENIED
2026-03-11,18:55:19,TEACHER (Ana),Rosé Park,DENIED
2026-03-11,18:55:29,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-11,18:55:39,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,18:55:49,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,18:56:11,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-11,18:56:17,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-11,19:15:14,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-11,19:15:21,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-11,19:15:28,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-11,19:15:37,Maria Santos,Rosé Park,AUTHORIZED
2026-03-11,19:16:11,Joyce Shelby,Jennie Kim,DENIED
2026-03-11,19:16:26,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-11,19:16:35,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-11,19:17:00,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-11,19:17:37,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-11,19:17:47,Maria Santos,Rosé Park,AUTHORIZED
2026-03-11,19:18:10,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-11,19:18:17,Maria Santos,Rosé Park,AUTHORIZED
2026-03-11,19:18:59,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-11,19:19:39,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-11,19:19:51,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-11,19:20:21,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-11,20:30:15,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-11,20:30:25,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-11,20:30:33,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-11,20:30:49,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-11,20:30:59,Maria Santos,Rosé Park,AUTHORIZED
2026-03-11,20:31:24,TEACHER (Bill),Jisoo Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,20:48:47,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-11,20:48:56,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-11,20:49:08,Maria Santos,Rosé Park,AUTHORIZED
2026-03-11,20:49:13,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-11,20:49:31,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-11,20:49:46,Joyce Shelby,Lisa Manobal,DENIED
2026-03-11,20:49:53,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-11,20:50:09,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,20:50:46,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,20:51:01,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,20:51:34,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:10:52,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:11:09,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:11:21,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:11:32,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:11:41,TEACHER (Bill),Jisoo Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:11:54,TEACHER (Bill),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:12:17,TEACHER (Bill),Jisoo Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:12:31,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:12:46,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:12:58,TEACHER (Bill),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-11,21:13:17,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
