Date,Time,Fetcher,Student,Status
2026-03-16,10:10:07,Teresita Yu,Karina Yu,AUTHORIZED
2026-03-16,10:10:26,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-16,10:11:05,Teresita Yu,Karina Yu,AUTHORIZED
2026-03-16,10:13:31,Teresita Yu,Karina Yu,AUTHORIZED
2026-03-16,10:14:04,TEACHER (Lozano),Karina Yu,AUTHORIZED (TEACHER OVERRIDE)
2026-03-16,10:14:33,ADMIN (Kent),Karina Yu,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:15:26,TEACHER (Lozano),Karina Yu,AUTHORIZED (TEACHER OVERRIDE)
2026-03-16,10:16:04,ADMIN (Kent),Karina Yu,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:19:09,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-16,10:19:18,Maria Santos,Rosé Park,AUTHORIZED
2026-03-16,10:19:25,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-16,10:19:34,ADMIN (Kent),Jisoo Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:19:47,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-16,10:19:55,Jimmy Brown,Millie Brown,AUTHORIZED
2026-03-16,10:20:09,ADMIN (Kent),Stephen Cruz,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:20:17,ADMIN (Kent),Kimberly Manalo,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:20:38,Rosa Dominguez,Shiela Dominguez,AUTHORIZED
2026-03-16,10:20:48,ADMIN (Kent),Dale Dominguez,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:20:58,Teresita Yu,Karina Yu,AUTHORIZED
2026-03-16,10:21:06,Angela Flores,Nathaniel Villanueva,AUTHORIZED
2026-03-16,10:21:13,Emilio Navarro,Justin Cruz,AUTHORIZED
2026-03-16,10:21:19,Angela Flores,Samantha Villanueva,AUTHORIZED
2026-03-16,10:21:24,Emilio Navarro,Winsley Bautista,AUTHORIZED
2026-03-16,10:22:02,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-16,10:22:12,ADMIN (Kent),Jennie Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:22:23,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-16,10:22:32,Maria Santos,Rosé Park,AUTHORIZED
2026-03-16,10:23:13,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-16,10:23:25,ADMIN (Kent),Jennie Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:23:54,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-16,10:24:02,Maria Santos,Rosé Park,AUTHORIZED
2026-03-16,10:30:35,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-16,10:30:44,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-16,10:30:58,Maria Santos,Rosé Park,AUTHORIZED
2026-03-16,10:33:07,Rosa Dominguez,Shiela Dominguez,AUTHORIZED
2026-03-16,10:33:21,ADMIN (Kent),Winsley Bautista,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:33:47,Angela Flores,Samantha Villanueva,AUTHORIZED
2026-03-16,10:34:01,Angela Flores,Nathaniel Villanueva,AUTHORIZED
2026-03-16,10:34:33,Emilio Navarro,Justin Cruz,AUTHORIZED
2026-03-16,10:34:44,Rosa Dominguez,Dale Dominguez,AUTHORIZED
2026-03-16,10:35:00,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-03-16,10:35:11,ADMIN (Kent),Jennie Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:35:18,ADMIN (Kent),Jisoo Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:35:29,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-16,10:35:48,Luz Manalo,Kimberly Manalo,AUTHORIZED
2026-03-16,10:35:54,Jimmy Brown,Millie Brown,AUTHORIZED
2026-03-16,10:36:00,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-16,10:36:08,ADMIN (Kent),Stephen Cruz,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:36:36,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-03-16,10:36:50,ADMIN (Kent),Jennie Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:36:57,ADMIN (Kent),Jisoo Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-16,10:37:30,Maria Santos,Lisa Manobal,AUTHORIZED
