Date,Time,Fetcher,Student,Status
2026-02-16,12:43:35,Magdalena,Rosé Park,AUTHORIZED
2026-02-16,12:45:10,Magdalena,Rosé Park,AUTHORIZED
2026-02-16,13:13:31,Magdalena,Rosé Park,AUTHORIZED
2026-02-16,13:13:36,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-16,13:35:09,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-16,13:35:20,Magdalena,Jennie Kim,AUTHORIZED
2026-02-16,13:35:32,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-16,13:35:44,Magdalena,Rosé Park,AUTHORIZED
2026-02-16,13:53:40,Magdalena,Rosé Park,AUTHORIZED
2026-02-16,13:53:44,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-16,13:53:51,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-16,13:53:55,Magdalena,Jennie Kim,AUTHORIZED
2026-02-16,14:29:49,Magdalena,Rosé Park,AUTHORIZED
2026-02-16,14:29:53,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-16,14:30:03,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-16,14:30:07,Magdalena,Jennie Kim,AUTHORIZED
2026-02-16,14:36:14,Magdalena,Rosé Park,AUTHORIZED
2026-02-16,14:54:35,Magdalena,Rosé Park,AUTHORIZED
2026-02-16,14:54:40,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-16,14:54:47,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-16,14:54:51,Magdalena,Jennie Kim,AUTHORIZED
2026-02-16,15:54:43,Magdalena,Rosé Park,AUTHORIZED
2026-02-16,15:54:47,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-16,15:54:51,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-16,15:54:57,Magdalena,Jennie Kim,AUTHORIZED
2026-02-16,17:25:37,TEACHER (Andi),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-02-16,17:25:47,TEACHER (Andi),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-02-16,17:26:08,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-16,17:26:33,Magdalena,Jennie Kim,AUTHORIZED
2026-02-16,17:28:56,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-16,17:29:01,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-16,17:29:08,Magdalena,Jennie Kim,AUTHORIZED
2026-02-16,17:29:36,Magdalena,Lisa Manobal,AUTHORIZED
