Date,Time,Fetcher,Student,Status
2026-02-23,00:09:26,TEACHER (Andi),Lee Ji-eun,DENIED
2026-02-23,00:09:49,TEACHER (Andi),Lee Ji-eun,DENIED
2026-02-23,00:10:02,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,00:11:18,TEACHER (Mark),Nagisa Shiota,DENIED
2026-02-23,00:11:28,Irina Jelavic,Nagisa Shiota,AUTHORIZED
2026-02-23,00:27:16,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,00:28:16,Natividad Sanchez,Lee Ji-eun,DENIED
2026-02-23,00:28:27,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-23,00:28:38,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-23,00:33:36,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-23,00:33:45,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-23,00:34:15,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-23,00:34:24,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-23,00:34:35,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-23,00:34:52,Magdalena,Rosé Park,AUTHORIZED
2026-02-23,00:35:10,TEACHER (Andi),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,00:35:26,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-23,00:35:31,Irina Jelavic,Nagisa Shiota,AUTHORIZED
2026-02-23,00:35:37,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-23,00:35:46,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-23,00:35:53,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-23,00:36:00,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-23,00:36:06,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-23,00:39:55,Magdalena,Rosé Park,AUTHORIZED
2026-02-23,00:40:00,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-23,00:40:06,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-23,00:40:12,Magdalena,Jennie Kim,AUTHORIZED
2026-02-23,00:40:18,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-23,00:40:24,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-23,00:40:30,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-23,00:57:00,Magdalena,Rosé Park,AUTHORIZED
2026-02-23,00:57:09,Irina Jelavic,Nagisa Shiota,AUTHORIZED
2026-02-23,00:57:15,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-23,00:57:28,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-23,00:57:37,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-23,00:57:45,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-23,00:57:57,Magdalena,Jennie Kim,AUTHORIZED
2026-02-23,00:58:14,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-23,00:58:24,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-23,03:12:24,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,03:12:31,Maria Santos,Rosé Park,AUTHORIZED
2026-02-23,03:12:36,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,03:12:42,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,03:27:33,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,03:28:23,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,03:37:03,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,03:54:09,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,03:55:44,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,03:56:43,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,03:57:14,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,03:57:38,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,04:28:00,Maria Santos,Lisa Manobal,AUTHORIZED
2026-02-23,04:28:05,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,04:28:10,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,04:37:26,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,08:40:57,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,08:50:25,Maria Santos,Jisoo Kim,AUTHORIZED
2026-02-23,08:50:34,Maria Santos,Jennie Kim,AUTHORIZED
2026-02-23,08:50:39,Maria Santos,Rosé Park,AUTHORIZED
2026-02-23,08:50:45,Maria Santos,Lisa Manobal,AUTHORIZED
