Date,Time,Fetcher,Student,Status
2026-02-18,01:55:14,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-18,01:55:22,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,01:55:28,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,01:57:56,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-18,01:58:01,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,01:58:07,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,01:58:15,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-18,01:58:24,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-18,02:03:03,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-18,02:03:15,Magdalena,Jennie Kim,AUTHORIZED
2026-02-18,02:03:20,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-18,02:03:44,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-18,02:03:51,Magdalena,Rosé Park,AUTHORIZED
2026-02-18,02:03:56,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,11:12:06,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,11:12:11,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,11:12:16,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-18,11:12:22,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-18,11:12:30,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-18,11:12:38,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-18,11:12:43,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-18,11:12:50,Magdalena,Jennie Kim,AUTHORIZED
2026-02-18,11:12:57,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-18,11:13:02,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-18,11:13:07,Magdalena,Rosé Park,AUTHORIZED
2026-02-18,11:18:25,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,11:18:29,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-18,11:18:39,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-18,11:18:51,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-18,11:19:43,Magdalena,Rosé Park,AUTHORIZED
2026-02-18,11:19:48,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-18,11:19:55,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-18,11:20:03,Magdalena,Jennie Kim,AUTHORIZED
2026-02-18,11:42:25,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-18,11:42:35,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-18,11:42:48,Natividad Sanchez,Hanni Pham,AUTHORIZED
