Date,Time,Fetcher,Student,Status
2026-02-20,15:43:30,TEACHER (Andi),Chaewon Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,15:44:12,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:03:06,TEACHER (Andi),Chaewon Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:05:57,TEACHER (Andi),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:06:06,TEACHER (Andi),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:06:17,TEACHER (Andi),Jisoo Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:06:27,TEACHER (Andi),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:07:04,TEACHER (Andi),Chaewon Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:07:30,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:08:23,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:09:05,TEACHER (Andi),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:09:15,TEACHER (Andi),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:09:25,TEACHER (Andi),Jisoo Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:09:34,TEACHER (Andi),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:09:52,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-20,16:29:36,TEACHER (Andi),Chaewon Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:29:56,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-20,16:30:22,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-20,16:30:33,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-20,16:30:37,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-20,16:30:50,Magdalena,Rosé Park,AUTHORIZED
2026-02-20,16:30:55,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-20,16:31:01,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-20,16:31:06,Magdalena,Jennie Kim,AUTHORIZED
2026-02-20,16:31:17,Jose Manalo,Dahyun Kim,AUTHORIZED
