Date,Time,Fetcher,Student,Status
2026-02-22,21:35:51,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-22,21:36:03,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-22,21:36:12,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-22,21:36:37,Magdalena,Jennie Kim,AUTHORIZED
2026-02-22,21:36:57,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-22,21:37:04,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-22,21:37:18,Magdalena,Rosé Park,AUTHORIZED
2026-02-22,22:07:48,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-22,22:08:01,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-22,22:08:11,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-22,22:08:19,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-22,22:08:26,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-22,22:08:37,Magdalena,Rosé Park,AUTHORIZED
2026-02-22,22:08:45,Magdalena,Jennie Kim,AUTHORIZED
2026-02-22,22:17:22,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-22,22:17:33,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-22,22:17:41,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-22,22:33:14,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-22,22:33:22,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-22,22:33:30,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-22,22:33:44,Magdalena,Jennie Kim,AUTHORIZED
2026-02-22,22:33:55,Magdalena,Rosé Park,AUTHORIZED
2026-02-22,22:34:06,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-22,22:34:18,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-22,22:54:07,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-22,22:54:17,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-22,22:54:29,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-22,22:54:44,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-22,23:13:38,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-22,23:13:53,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-22,23:38:45,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-22,23:39:02,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-22,23:39:18,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-22,23:39:39,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-22,23:39:55,Magdalena,Rosé Park,AUTHORIZED
2026-02-22,23:40:03,Magdalena,Jennie Kim,AUTHORIZED
2026-02-22,23:40:11,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-23,00:01:03,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-23,00:01:24,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-23,00:01:37,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-23,00:01:54,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-23,00:02:04,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-23,00:02:12,Magdalena,Rosé Park,AUTHORIZED
2026-02-23,00:02:22,Magdalena,Jennie Kim,AUTHORIZED
2026-02-23,00:02:40,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-23,00:03:07,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-23,00:03:33,Irina Jelavic,Nagisa Shiota,AUTHORIZED
