Date,Time,Fetcher,Student,Status
2026-02-17,10:56:27,Magdalena,Rosé Park,AUTHORIZED
2026-02-17,10:56:39,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-17,10:56:44,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,10:57:16,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-17,10:57:24,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,10:58:04,TEACHER (Andi),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-02-17,10:58:18,TEACHER (Andi),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-02-17,10:58:34,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,10:58:54,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-17,10:59:12,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,11:14:51,Magdalena,Rosé Park,AUTHORIZED
2026-02-17,11:14:59,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-17,11:15:05,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,11:15:10,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,15:52:29,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-17,15:52:40,Magdalena,Rosé Park,AUTHORIZED
2026-02-17,15:52:44,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-17,15:53:01,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,15:53:06,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,17:21:51,TEACHER (Andi),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-02-17,17:22:06,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-17,17:22:10,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,17:22:28,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-17,17:22:35,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,17:25:17,TEACHER (Mark),Lee Ji-eun,AUTHORIZED (TEACHER OVERRIDE)
2026-02-17,17:26:40,Magdalena,Rosé Park,AUTHORIZED
2026-02-17,17:26:44,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-17,17:27:00,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,17:27:37,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,21:25:48,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-17,22:42:03,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,22:42:15,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-17,22:42:22,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-17,22:42:35,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-17,22:42:49,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-17,22:42:59,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-17,22:43:13,Magdalena,Rosé Park,AUTHORIZED
2026-02-17,22:43:32,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-17,22:44:00,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-17,22:44:07,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,22:44:15,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-17,22:59:23,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-17,22:59:34,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-17,22:59:46,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-17,22:59:56,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-17,23:00:01,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,23:00:12,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-17,23:00:21,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-17,23:00:36,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-17,23:00:50,Magdalena,Rosé Park,AUTHORIZED
2026-02-17,23:00:58,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-17,23:01:09,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,23:02:43,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,23:04:26,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,23:14:25,Magdalena,Karina Yu,DENIED
2026-02-17,23:14:35,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,23:14:47,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,23:17:34,Magdalena,Jennie Kim,AUTHORIZED
2026-02-17,23:18:00,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-17,23:18:13,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-17,23:18:25,Magdalena,Rosé Park,AUTHORIZED
2026-02-17,23:19:24,Teresita,Lee Ji-eun,AUTHORIZED
