Date,Time,Fetcher,Student,Status
2026-03-13,09:37:02,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-13,09:37:07,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-13,09:37:12,Maria Santos,Rosé Park,AUTHORIZED
2026-03-13,09:37:18,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,09:37:44,TEACHER (Marvin),Karina Yu,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,09:38:12,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,13:46:47,ADMIN (Kent),Jisoo Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,13:47:01,TEACHER (Bill),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,13:47:13,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-13,13:47:25,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,13:47:31,Maria Santos,Rosé Park,AUTHORIZED
2026-03-13,13:47:55,ADMIN (Kent),Jisoo Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,13:48:21,ADMIN (Kent),Jennie Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,14:07:23,ADMIN (Kent),Jennie Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,14:07:34,ADMIN (Kent),Thomas Shelby,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,14:08:05,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,14:08:28,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,14:08:33,Maria Santos,Rosé Park,AUTHORIZED
2026-03-13,14:09:04,Teresita Deguzman,Karina Yu,AUTHORIZED
2026-03-13,14:09:28,ADMIN (Kent),Rosé Park,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,14:09:38,ADMIN (Kent),Jisoo Kim,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,14:09:49,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,14:10:14,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-13,14:12:01,TEACHER (Bill),Thomas Shelby,DENIED
2026-03-13,14:12:12,TEACHER (Ana),Jennie Kim,DENIED
2026-03-13,14:12:23,TEACHER (Marvin),Rosé Park,DENIED
2026-03-13,14:12:43,TEACHER (Marvin),Karina Yu,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,14:13:02,Joyce Shelby,Thomas Shelby,AUTHORIZED
2026-03-13,14:13:18,TEACHER (Bill),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,14:13:29,TEACHER (Ana),Lisa Manobal,DENIED
2026-03-13,14:13:40,TEACHER (Marvin),Lisa Manobal,DENIED
2026-03-13,14:13:51,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,14:14:06,ADMIN (Kent),Rosé Park,AUTHORIZED (ADMIN OVERRIDE)
2026-03-13,14:14:30,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-13,15:54:57,TEACHER (Bill),Jisoo Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,15:55:08,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,15:55:18,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-13,15:55:29,TEACHER (Bill),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
