Date,Time,Fetcher,Student,Status
2026-02-19,19:42:43,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-19,19:44:37,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-19,19:44:46,Pamela Linga,Ryujin Shin,DENIED
2026-02-19,19:45:01,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-19,19:47:00,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-19,19:47:06,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-19,19:47:11,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-19,19:47:15,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-19,19:47:21,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-19,19:47:28,Magdalena,Jennie Kim,AUTHORIZED
2026-02-19,19:47:32,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-19,19:47:36,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-19,19:47:41,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-19,19:47:46,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-19,19:47:50,Magdalena,Rosé Park,AUTHORIZED
