Date,Time,Fetcher,Student,Status
2026-03-12,03:28:21,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
2026-03-12,03:28:39,TEACHER (Bill),Jennie Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-12,03:28:52,TEACHER (Bill),Jisoo Kim,AUTHORIZED (TEACHER OVERRIDE)
2026-03-12,03:29:04,TEACHER (Bill),Rosé Park,AUTHORIZED (TEACHER OVERRIDE)
2026-03-12,03:29:16,TEACHER (Bill),Lisa Manobal,AUTHORIZED (TEACHER OVERRIDE)
2026-03-12,03:30:03,Teresita Deguzman,Karina Yu,AUTHORIZED
2026-03-12,03:33:02,TEACHER (Marvin),Karina Yu,AUTHORIZED (TEACHER OVERRIDE)
2026-03-12,03:33:13,TEACHER (Marvin),Lisa Manobal,DENIED
2026-03-12,03:33:24,TEACHER (Ana),Jisoo Kim,DENIED
2026-03-12,03:33:35,TEACHER (Ana),Rosé Park,DENIED
2026-03-12,03:33:47,TEACHER (Bill),Thomas Shelby,DENIED
2026-03-12,03:34:17,Maria Santos,Rosé Park,AUTHORIZED
2026-03-12,03:34:23,Maria Santos,Jisoo Kim,AUTHORIZED
2026-03-12,03:34:30,Maria Santos,Lisa Manobal,AUTHORIZED
2026-03-12,03:34:36,Maria Santos,Jennie Kim,AUTHORIZED
2026-03-12,03:35:04,TEACHER (Ana),Thomas Shelby,AUTHORIZED (TEACHER OVERRIDE)
