Date,Time,Fetcher,Student,Status
2026-02-21,11:22:28,Magdalena,Jennie Kim,AUTHORIZED
2026-02-21,11:25:11,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-21,11:27:19,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-21,11:27:24,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-21,11:27:36,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-21,11:27:47,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-21,11:28:05,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-21,11:32:11,Irina Jelavic,Nagisa Shiota,AUTHORIZED
2026-02-21,11:34:18,TEACHER (Koro),Nagisa Shiota,AUTHORIZED (TEACHER OVERRIDE)
2026-02-21,11:41:39,Teresita,Lee Ji-eun,AUTHORIZED
2026-02-21,11:41:51,Irina Jelavic,Nagisa Shiota,AUTHORIZED
2026-02-21,11:41:58,Karmen Solomon,Chaewon Kim,AUTHORIZED
2026-02-21,11:42:03,Natividad Sanchez,Hanni Pham,AUTHORIZED
2026-02-21,11:42:09,Pamela Linga,Karina Yu,AUTHORIZED
2026-02-21,11:42:15,Karen  Coangco,Somi Jeon,AUTHORIZED
2026-02-21,11:42:20,Mel Tiangco,Ryujin Shin,AUTHORIZED
2026-02-21,11:42:32,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-21,11:42:37,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-21,11:42:43,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-21,11:43:12,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-21,11:43:18,Magdalena,Jennie Kim,AUTHORIZED
2026-02-21,11:43:23,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-21,11:43:29,Magdalena,Rosé Park,AUTHORIZED
2026-02-21,11:57:20,Jose Manalo,Dahyun Kim,AUTHORIZED
2026-02-21,11:57:26,Jose Manalo,Sana Minatozaki,AUTHORIZED
2026-02-21,11:57:35,Jose Manalo,Na-yeon Im,AUTHORIZED
2026-02-21,11:57:50,Magdalena,Lisa Manobal,AUTHORIZED
2026-02-21,11:57:58,Magdalena,Jennie Kim,AUTHORIZED
2026-02-21,11:58:06,Magdalena,Rosé Park,AUTHORIZED
2026-02-21,11:58:14,Magdalena,Jisoo Kim,AUTHORIZED
2026-02-21,11:58:26,Teresita,Lee Ji-eun,AUTHORIZED
